Run: 0
b'0' b'5885840.000000' b'6.646012' b'0.050779' b'6.696791'
b'10' b'5882221.000000' b'71.506663' b'0.639854' b'72.146521'
b'20' b'5879721.000000' b'134.514961' b'1.198422' b'135.713388'
b'30' b'5875968.000000' b'195.302968' b'1.744267' b'197.047242'
b'40' b'5874382.000000' b'254.503997' b'2.318453' b'256.822460'
b'50' b'5871173.000000' b'311.999167' b'2.893075' b'314.892257'
b'60' b'5869197.000000' b'368.005060' b'3.534375' b'371.539454'
b'70' b'5867142.000000' b'422.590315' b'4.196578' b'426.786918'
b'80' b'5863223.000000' b'476.312280' b'4.767539' b'481.079847'
b'90' b'5862426.000000' b'529.027494' b'5.343144' b'534.370675'
b'100' b'5860509.000000' b'580.669617' b'5.884314' b'586.553973'
b'110' b'5859981.000000' b'631.552901' b'6.385308' b'637.938274'
b'120' b'5857470.000000' b'682.032898' b'6.886309' b'688.919276'
b'130' b'5856950.000000' b'731.985455' b'7.385464' b'739.370993'
b'140' b'5854449.000000' b'781.244319' b'7.853596' b'789.098013'
b'150' b'5853331.000000' b'829.919912' b'8.345479' b'838.265492'
b'160' b'5853331.000000' b'878.386725' b'8.860768' b'887.247597'
b'170' b'5852224.000000' b'926.432380' b'9.328424' b'935.760913'
b'180' b'5852062.000000' b'974.365506' b'9.943337' b'984.308956'
b'190' b'5850717.000000' b'1022.250220' b'10.506152' b'1032.756489'
b'200' b'5850717.000000' b'1069.862633' b'11.028907' b'1080.891660'
b'210' b'5850717.000000' b'1117.308327' b'11.526157' b'1128.834608'
b'220' b'5850258.000000' b'1164.645386' b'12.014840' b'1176.660370'
b'230' b'5848900.000000' b'1211.782539' b'12.565524' b'1224.348212'
b'240' b'5848900.000000' b'1258.762357' b'13.035628' b'1271.798138'
b'250' b'5848900.000000' b'1305.921479' b'13.505161' b'1319.426797'
b'260' b'5848900.000000' b'1352.795966' b'13.981623' b'1366.777754'
b'270' b'5848900.000000' b'1399.573645' b'14.456244' b'1414.030060'
b'280' b'5846230.000000' b'1446.366400' b'14.942047' b'1461.308626'
b'290' b'5846230.000000' b'1492.842910' b'15.411987' b'1508.255082'
b'300' b'5846230.000000' b'1539.698830' b'15.942421' b'1555.641455'
b'310' b'5846230.000000' b'1586.473715' b'16.416790' b'1602.890715'
b'320' b'5846230.000000' b'1633.062747' b'16.992149' b'1650.055129'
b'330' b'5846230.000000' b'1679.447217' b'17.561602' b'1697.009065'
b'340' b'5846230.000000' b'1725.943333' b'18.062051' b'1744.005639'
b'350' b'5846230.000000' b'1772.598463' b'18.562889' b'1791.161617'
b'360' b'5846230.000000' b'1819.309255' b'19.155538' b'1838.465084'
b'370' b'5846230.000000' b'1865.792367' b'19.694776' b'1885.487441'
b'380' b'5846230.000000' b'1912.309746' b'20.252468' b'1932.562522'
b'390' b'5846230.000000' b'1958.643865' b'20.761952' b'1979.406134'
b'400' b'5846230.000000' b'2005.043370' b'21.362744' b'2026.406435'
b'410' b'5846230.000000' b'2051.521884' b'21.900142' b'2073.422356'
b'420' b'5846230.000000' b'2097.942429' b'22.420460' b'2120.363225'
b'430' b'5846205.000000' b'2144.168558' b'22.954273' b'2167.123174'
b'440' b'5846205.000000' b'2190.587680' b'23.468936' b'2214.056962'
b'450' b'5846205.000000' b'2237.183540' b'23.987498' b'2261.171392'
b'460' b'5846205.000000' b'2283.612593' b'24.491187' b'2308.104143'
b'470' b'5846205.000000' b'2330.000290' b'24.949307' b'2354.949966'
b'480' b'5846205.000000' b'2376.454097' b'25.412740' b'2401.867217'
b'490' b'5846205.000000' b'2422.677435' b'25.886684' b'2448.564506'
b'500' b'5846205.000000' b'2468.912997' b'26.380097' b'2495.293493'
b'510' b'5846205.000000' b'2515.264591' b'26.840265' b'2542.105260'
b'520' b'5846205.000000' b'2561.676195' b'27.305126' b'2588.981733'
b'530' b'5846205.000000' b'2608.026661' b'27.821420' b'2635.848514'
b'540' b'5846205.000000' b'2654.234879' b'28.287567' b'2682.522904'
b'550' b'5846205.000000' b'2700.445130' b'28.858245' b'2729.303845'
b'560' b'5846205.000000' b'2746.523467' b'29.346860' b'2775.870805'
b'570' b'5846205.000000' b'2792.898562' b'29.869729' b'2822.768774'
b'580' b'5846205.000000' b'2839.250447' b'30.365182' b'2869.616122'
