Function Name,Exclusive Samples,Exclusive Samples %,Instruction Address,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"Ant::ConstructTour","22,763",23.87,0x0006647F,424,0,424,0,
"Ant::csRoulette","12,843",13.47,0x00066DA0,546,0,546,0,
"[ucrtbased.dll]","9,690",10.16,0x0FA64950,0,0,0,0,
"[ucrtbased.dll]","9,506",9.97,0x0FA64D04,0,0,0,0,
"Ant::avxRandom","2,589",2.71,0x00066C33,709,0,709,0,
"Ant::csRoulette","2,079",2.18,0x00066DA6,548,0,548,0,
"Ant::csRoulette","1,924",2.02,0x00066D99,546,0,546,0,
"Ant::csRoulette","1,519",1.59,0x00066CAD,522,0,522,0,
"Ant::avxRandom","1,448",1.52,0x00066C3F,709,0,709,0,
"Ant::avxRandom","1,372",1.44,0x00066BBD,705,0,705,0,
"Ant::avxRandom","1,275",1.34,0x00066C23,709,0,709,0,
"Ant::avxRandom","1,086",1.14,0x00066C37,709,0,709,0,
"Ant::csRoulette","1,039",1.09,0x00066E56,560,0,560,0,
"Ant::csRoulette",891,0.93,0x00066DDF,552,0,552,0,
"Ant::csRoulette",835,0.88,0x00066D39,540,0,540,0,
"Ant::csRoulette",777,0.81,0x00066D90,546,0,546,0,
"Ant::csRoulette",762,0.80,0x00066DF9,552,0,552,0,
"Ant::csRoulette",727,0.76,0x00066F45,593,0,593,0,
"Ant::csRoulette",615,0.64,0x00066E39,558,0,558,0,
"Ant::avxRandom",611,0.64,0x00066C43,709,0,709,0,
"Ant::csRoulette",596,0.62,0x00066D8A,546,0,546,0,
"Ant::csRoulette",591,0.62,0x00067078,620,0,620,0,
"Ant::csRoulette",587,0.62,0x00066E73,564,0,564,0,
"Ant::csRoulette",506,0.53,0x00066D28,538,0,538,0,
"Ant::csRoulette",494,0.52,0x00067043,615,0,615,0,
"Ant::avxRandom",436,0.46,0x00066C11,709,0,709,0,
"Ant::iRoulette",409,0.43,0x00067437,492,0,492,0,
"Ant::ConstructTour",407,0.43,0x000664B3,430,0,430,0,
"Ant::csRoulette",393,0.41,0x00066E01,554,0,554,0,
