Function Name,Exclusive Samples,Exclusive Samples %,Inclusive Samples,Inclusive Samples %,Source Line Begin,Source Character Begin,Source Line End,Source Character End,
"Ant::ConstructTour","23,670",24.82,"23,670",24.82,424,0,424,0,
"[ucrtbased.dll]","19,644",20.60,"19,644",20.60,0,0,0,0,
"Ant::csRoulette","16,198",16.99,"16,198",16.99,546,0,546,0,
"Ant::avxRandom","7,917",8.30,"7,917",8.30,709,0,709,0,
"Ant::csRoulette","2,756",2.89,"2,756",2.89,548,0,548,0,
"Ant::csRoulette","2,441",2.56,"2,441",2.56,593,0,593,0,
"Ant::csRoulette","2,080",2.18,"2,080",2.18,552,0,552,0,
"Ant::csRoulette","1,588",1.67,"1,588",1.67,522,0,522,0,
"Ant::avxRandom","1,534",1.61,"1,534",1.61,705,0,705,0,
"Ant::csRoulette","1,198",1.26,"1,198",1.26,560,0,560,0,
"Ant::csRoulette","1,126",1.18,"1,126",1.18,558,0,558,0,
"Ant::csRoulette","1,006",1.05,"1,006",1.05,540,0,540,0,
"Ant::iRoulette","1,004",1.05,"1,004",1.05,492,0,492,0,
"Ant::csRoulette",926,0.97,926,0.97,615,0,615,0,
"Ant::csRoulette",882,0.92,882,0.92,550,0,550,0,
"Ant::ConstructTour",806,0.85,806,0.85,430,0,430,0,
"Ant::csRoulette",621,0.65,621,0.65,590,0,590,0,
"Ant::csRoulette",601,0.63,601,0.63,617,0,617,0,
"Ant::csRoulette",591,0.62,591,0.62,620,0,620,0,
"Ant::csRoulette",587,0.62,587,0.62,564,0,564,0,
"[vcruntime140d.dll]",573,0.60,573,0.60,0,0,0,0,
"Ant::csRoulette",541,0.57,541,0.57,544,0,544,0,
"Ant::csRoulette",520,0.55,520,0.55,538,0,538,0,
"Ant::csRoulette",468,0.49,468,0.49,554,0,554,0,
"Ant::avxRandom",383,0.40,383,0.40,708,0,708,0,
"Ant::iRoulette",358,0.38,358,0.38,489,0,489,0,
"Ant::csRoulette",309,0.32,309,0.32,613,0,613,0,
"Ant::csRoulette",308,0.32,308,0.32,596,0,596,0,
"Ant::csRoulette",290,0.30,290,0.30,601,0,601,0,
"Ant::avxRandom",267,0.28,267,0.28,710,0,710,0,
"Ant::csRoulette",233,0.24,233,0.24,561,0,561,0,
"_RTC_CheckStackVars",230,0.24,230,0.24,0,0,0,0,
"Ant::csRoulette",225,0.24,225,0.24,586,0,586,0,
"Ant::csRoulette",206,0.22,206,0.22,571,0,571,0,
"Ant::csRoulette",194,0.20,194,0.20,541,0,541,0,
"Ant::csRoulette",189,0.20,189,0.20,565,0,565,0,
"Ant::ConstructTour",152,0.16,152,0.16,409,0,409,0,
"_RTC_CheckEsp",143,0.15,143,0.15,0,0,0,0,
"Ant::csRoulette",130,0.14,"5,031",5.28,525,0,525,0,
