Instance  Nruns            Mean             Min              LQ          Median              UQ             Max    Time(s)/iter
lin318       50    44020.780000    42870.000000    43561.000000    44073.000000    44426.000000    45450.000000        0.018191
pcb442       50    59160.260000    57780.000000    58772.000000    59262.000000    59606.000000    60049.000000        0.029170
rat783       50    10448.260000    10263.000000    10410.000000    10455.000000    10483.000000    10578.000000        0.068259
pr1002       50   316613.800000   310822.000000   315749.000000   316902.000000   317974.000000   320163.000000        0.094123
fl1577       50    26065.920000    25655.000000    25962.000000    26053.000000    26135.000000    26604.000000        0.176651
pr2392       50   483407.260000   478617.000000   481946.000000   484145.000000   484745.000000   486564.000000        0.371015
fl3795       50    36115.980000    35565.000000    35990.000000    36127.000000    36296.000000    36489.000000        0.785745
rl5934       50   670688.940000   661731.000000   669364.000000   670331.000000   672836.000000   676844.000000        2.088878
pla7397      50 30902392.580000 30529407.000000 30830795.000000 30910053.000000 30996482.000000 31105238.000000        3.388348
rl11849      50  1174163.840000  1165321.000000  1171640.000000  1174667.000000  1176220.000000  1181309.000000       10.578780
