Run: 0
b'0' b'8398557.000000' b'31.975157' b'0.286274' b'32.261433'
b'10' b'8394589.000000' b'319.340423' b'2.601943' b'321.942373'
b'20' b'8390192.000000' b'612.039693' b'4.614104' b'616.653810'
b'30' b'8387264.000000' b'899.914849' b'6.042162' b'905.957026'
b'40' b'8386604.000000' b'1169.018249' b'7.734006' b'1176.752276'
b'50' b'8380414.000000' b'1439.016514' b'9.139955' b'1448.156499'
b'60' b'8379582.000000' b'1687.203299' b'11.267165' b'1698.470497'
b'70' b'8374565.000000' b'1933.500863' b'12.881000' b'1946.381902'
b'80' b'8370408.000000' b'2180.245490' b'14.310660' b'2194.556193'
b'90' b'8368823.000000' b'2416.019690' b'16.254627' b'2432.274382'
b'100' b'8365728.000000' b'2652.733364' b'18.063110' b'2670.796546'
b'110' b'8359480.000000' b'2884.176579' b'20.175990' b'2904.352647'
b'120' b'8357420.000000' b'3107.408165' b'22.573597' b'3129.981843'
b'130' b'8357420.000000' b'3322.154810' b'24.320307' b'3346.475202'
b'140' b'8357420.000000' b'3544.671258' b'26.022568' b'3570.693919'
b'150' b'8355141.000000' b'3767.771000' b'27.455182' b'3795.226283'
b'160' b'8352970.000000' b'3984.340563' b'29.092962' b'4013.433634'
b'170' b'8348702.000000' b'4191.979363' b'30.859309' b'4222.838803'
b'180' b'8348702.000000' b'4405.364969' b'32.253265' b'4437.618370'
b'190' b'8347749.000000' b'4613.437010' b'33.821548' b'4647.258699'
b'200' b'8347749.000000' b'4821.473029' b'35.653378' b'4857.126553'
b'210' b'8347749.000000' b'5026.911554' b'37.660771' b'5064.572479'
b'220' b'8347749.000000' b'5233.503198' b'39.483705' b'5272.987060'
b'230' b'8347749.000000' b'5446.550092' b'41.233117' b'5487.783371'
b'240' b'8346597.000000' b'5650.169393' b'42.921517' b'5693.091077'
b'250' b'8346597.000000' b'5865.363495' b'44.383320' b'5909.746985'
b'260' b'8343755.000000' b'6081.719051' b'46.004084' b'6127.723312'
b'270' b'8343598.000000' b'6290.071807' b'48.037425' b'6338.109414'
b'280' b'8343598.000000' b'6497.733620' b'49.876088' b'6547.609895'
b'290' b'8343436.000000' b'6704.083830' b'51.771205' b'6755.855227'
b'300' b'8343436.000000' b'6906.652075' b'53.617617' b'6960.269890'
b'310' b'8343436.000000' b'7118.410913' b'55.419152' b'7173.830268'
b'320' b'8343436.000000' b'7327.764792' b'56.985384' b'7384.750387'
b'330' b'8343436.000000' b'7541.149736' b'58.266844' b'7599.416797'
