Run: 0
b'0' b'5896069.000000' b'11.481647' b'0.110436' b'11.592085' b'4151'
b'10' b'5889834.000000' b'165.332851' b'0.684798' b'166.017656' b'27584'
b'20' b'5887618.000000' b'328.962785' b'1.303178' b'330.265973' b'39397'
b'30' b'5886022.000000' b'496.937877' b'1.885779' b'498.823673' b'47296'
b'40' b'5882853.000000' b'665.677651' b'2.438379' b'668.116051' b'53688'
b'50' b'5880839.000000' b'835.158719' b'3.079876' b'838.238622' b'59113'
b'60' b'5877534.000000' b'1003.336395' b'3.698785' b'1007.035213' b'63853'
b'70' b'5876415.000000' b'1172.624456' b'4.277193' b'1176.901684' b'68117'
b'80' b'5874054.000000' b'1341.158097' b'4.879892' b'1346.038044' b'72078'
b'90' b'5870345.000000' b'1511.307616' b'5.532934' b'1516.840609' b'75683'
b'100' b'5870087.000000' b'1682.574834' b'6.152901' b'1688.727798' b'79113'
b'110' b'5870087.000000' b'1855.865802' b'6.853453' b'1862.719320' b'82462'
b'120' b'5867877.000000' b'2026.249718' b'7.499202' b'2033.748986' b'85676'
b'130' b'5866466.000000' b'2195.246600' b'8.116498' b'2203.363167' b'88626'
b'140' b'5866148.000000' b'2366.593387' b'8.817457' b'2375.410915' b'91531'
b'150' b'5866148.000000' b'2538.690219' b'9.546478' b'2548.236772' b'94477'
b'160' b'5864813.000000' b'2712.435155' b'10.218584' b'2722.653817' b'97239'
b'170' b'5864049.000000' b'2884.862320' b'10.847625' b'2895.710029' b'99940'
b'180' b'5862037.000000' b'3056.975559' b'11.483112' b'3068.458757' b'102547'
b'190' b'5862037.000000' b'3229.153822' b'12.121491' b'3241.275406' b'105124'
b'200' b'5861974.000000' b'3401.221344' b'12.769981' b'3413.991421' b'107636'
b'210' b'5859801.000000' b'3577.264324' b'13.416040' b'3590.680466' b'110069'
b'220' b'5859587.000000' b'3750.536971' b'14.149765' b'3764.686844' b'112428'
b'230' b'5859587.000000' b'3922.824349' b'14.927223' b'3937.751685' b'114706'
b'240' b'5859472.000000' b'4099.356303' b'15.607788' b'4114.964209' b'116930'
b'250' b'5858979.000000' b'4276.433098' b'16.300091' b'4292.733314' b'119127'
b'260' b'5858979.000000' b'4452.884275' b'16.990155' b'4469.874563' b'121365'
b'270' b'5858979.000000' b'4631.692173' b'17.697719' b'4649.390031' b'123564'
b'280' b'5858519.000000' b'4809.213072' b'18.416862' b'4827.630077' b'125689'
b'290' b'5858468.000000' b'4988.082980' b'19.164298' b'5007.247427' b'127816'
b'300' b'5858468.000000' b'5164.042248' b'19.858521' b'5183.900928' b'129889'
b'310' b'5858468.000000' b'5343.642366' b'20.597665' b'5364.240197' b'131972'
b'320' b'5858468.000000' b'5522.620275' b'21.327084' b'5543.947526' b'133968'
b'330' b'5858280.000000' b'5702.221490' b'22.113065' b'5724.334724' b'135908'
b'340' b'5857709.000000' b'5880.882366' b'22.840384' b'5903.722927' b'137812'
b'350' b'5857709.000000' b'6060.161334' b'23.622221' b'6083.783738' b'139641'
b'360' b'5857709.000000' b'6240.533507' b'24.395639' b'6264.929335' b'141574'
b'370' b'5857709.000000' b'6421.183002' b'25.141285' b'6446.324480' b'143432'
b'380' b'5857709.000000' b'6602.552029' b'25.898616' b'6628.450848' b'145295'
b'390' b'5857564.000000' b'6781.509232' b'26.621136' b'6808.130576' b'147047'
b'400' b'5857564.000000' b'6964.789395' b'27.368439' b'6992.158051' b'148864'
b'410' b'5856051.000000' b'7148.226613' b'28.205261' b'7176.432094' b'150626'
b'420' b'5856051.000000' b'7332.022644' b'28.995343' b'7361.018214' b'152308'
b'430' b'5856051.000000' b'7514.336067' b'29.766502' b'7544.102800' b'154047'
b'440' b'5856051.000000' b'7698.913688' b'30.532201' b'7729.446125' b'155787'
b'450' b'5856051.000000' b'7883.658890' b'31.292021' b'7914.951165' b'157460'
b'460' b'5856051.000000' b'8068.274216' b'32.065768' b'8100.340241' b'159122'
b'470' b'5856051.000000' b'8251.872790' b'32.828926' b'8284.701980' b'160714'
b'480' b'5856051.000000' b'8437.825518' b'33.590141' b'8471.415928' b'162252'
b'490' b'5856051.000000' b'8623.603649' b'34.357359' b'8657.961280' b'163862'
b'500' b'5856051.000000' b'8809.442922' b'35.126492' b'8844.569691' b'165410'
b'510' b'5856051.000000' b'8995.256748' b'35.907718' b'9031.164760' b'166946'
b'520' b'5856051.000000' b'9180.024655' b'36.668023' b'9216.692976' b'168475'
b'530' b'5856051.000000' b'9364.824713' b'37.441531' b'9402.266546' b'169983'
b'540' b'5856051.000000' b'9555.322837' b'38.218398' b'9593.541540' b'171419'
b'550' b'5856051.000000' b'9743.343976' b'39.175328' b'9782.519612' b'172962'
b'560' b'5856051.000000' b'9931.264120' b'40.046176' b'9971.310607' b'174481'
b'570' b'5856051.000000' b'10120.397364' b'40.922561' b'10161.320242' b'175852'
b'580' b'5856051.000000' b'10308.938237' b'41.759574' b'10350.698132' b'177323'
b'590' b'5856051.000000' b'10500.538369' b'42.581461' b'10543.120156' b'178823'
b'600' b'5856051.000000' b'10689.179091' b'43.392336' b'10732.571756' b'180203'
b'610' b'5856051.000000' b'10881.527562' b'44.211066' b'10925.738959' b'181604'
b'620' b'5856051.000000' b'11074.650434' b'45.032049' b'11119.682821' b'183029'
b'630' b'5856051.000000' b'11263.854950' b'45.904109' b'11309.759402' b'184426'
b'640' b'5856051.000000' b'11453.956039' b'46.805710' b'11500.762095' b'185792'
b'650' b'5855264.000000' b'11644.086411' b'47.752280' b'11691.839042' b'187147'
b'660' b'5855264.000000' b'11833.690603' b'48.587513' b'11882.278485' b'188418'
b'670' b'5855264.000000' b'12026.160324' b'49.489934' b'12075.650660' b'189803'
b'680' b'5855264.000000' b'12217.946481' b'50.353481' b'12268.300365' b'191117'
b'690' b'5855264.000000' b'12410.657232' b'51.233336' b'12461.890974' b'192537'
b'700' b'5855264.000000' b'12604.001705' b'52.103512' b'12656.105629' b'193762'
b'710' b'5855264.000000' b'12795.102393' b'52.935097' b'12848.037906' b'195075'
b'720' b'5855264.000000' b'12987.190274' b'53.825670' b'13041.016368' b'196309'
b'730' b'5855264.000000' b'13179.318430' b'54.651737' b'13233.970595' b'197581'
b'740' b'5855264.000000' b'13373.945706' b'55.497218' b'13429.443369' b'198839'
b'750' b'5855264.000000' b'13565.981875' b'56.351998' b'13622.334320' b'200108'
b'760' b'5855264.000000' b'13758.770226' b'57.202331' b'13815.973008' b'201368'
b'770' b'5855264.000000' b'13953.279234' b'58.072184' b'14011.351875' b'202646'
b'780' b'5855264.000000' b'14149.394763' b'58.958396' b'14208.353635' b'203829'
b'790' b'5855264.000000' b'14345.230282' b'59.865023' b'14405.095786' b'205061'
b'800' b'5854753.000000' b'14537.979974' b'60.691043' b'14598.671502' b'206299'
b'810' b'5854753.000000' b'14734.809133' b'61.534436' b'14796.344070' b'207525'
b'820' b'5854753.000000' b'14927.792311' b'62.452422' b'14990.245238' b'208755'
b'830' b'5854753.000000' b'15120.645078' b'63.363208' b'15184.008792' b'209883'
b'840' b'5854753.000000' b'15316.946471' b'64.331978' b'15381.278961' b'211056'
b'850' b'5854753.000000' b'15514.481078' b'65.203985' b'15579.685581' b'212226'
b'860' b'5854753.000000' b'15710.633244' b'66.079138' b'15776.712906' b'213403'
b'870' b'5854753.000000' b'15905.300628' b'66.998538' b'15972.299695' b'214559'
b'880' b'5854753.000000' b'16102.722312' b'67.942917' b'16170.665763' b'215723'
b'890' b'5854753.000000' b'16301.785844' b'68.801640' b'16370.588022' b'216924'
b'900' b'5854753.000000' b'16502.375382' b'69.715670' b'16572.091596' b'218039'
b'910' b'5854753.000000' b'16700.316988' b'70.633279' b'16770.950816' b'219137'
b'920' b'5854753.000000' b'16901.653119' b'71.591646' b'16973.245332' b'220264'
