Run: 0
b'0' b'5891910.000000' b'6.662588' b'0.054310' b'6.716913'
b'10' b'5889321.000000' b'72.295875' b'0.734184' b'73.030089'
b'20' b'5888503.000000' b'135.778439' b'1.397988' b'137.176460'
b'30' b'5886408.000000' b'197.368033' b'2.053776' b'199.421843'
b'40' b'5883471.000000' b'257.169646' b'2.585965' b'259.755647'
b'50' b'5880104.000000' b'315.038430' b'3.107953' b'318.146434'
b'60' b'5878624.000000' b'371.793354' b'3.638898' b'375.432308'
b'70' b'5877049.000000' b'427.158187' b'4.170284' b'431.328533'
b'80' b'5874589.000000' b'481.286128' b'4.699017' b'485.985212'
b'90' b'5871392.000000' b'534.470909' b'5.230757' b'539.701741'
b'100' b'5871392.000000' b'586.623363' b'5.750895' b'592.374337'
b'110' b'5867177.000000' b'638.110005' b'6.273450' b'644.383541'
b'120' b'5866626.000000' b'688.871862' b'6.837620' b'695.709574'
b'130' b'5866626.000000' b'738.974837' b'7.408494' b'746.383428'
b'140' b'5864444.000000' b'788.606724' b'8.011642' b'796.618464'
b'150' b'5864444.000000' b'838.122653' b'8.563992' b'846.686747'
b'160' b'5864444.000000' b'887.132706' b'9.157762' b'896.290575'
b'170' b'5861684.000000' b'935.806558' b'9.742500' b'945.549169'
b'180' b'5860661.000000' b'984.407204' b'10.332504' b'994.739823'
b'190' b'5860661.000000' b'1032.687486' b'10.976409' b'1043.664015'
b'200' b'5860590.000000' b'1080.997976' b'11.569176' b'1092.567291'
b'210' b'5860155.000000' b'1128.996744' b'12.178529' b'1141.175418'
b'220' b'5858283.000000' b'1177.088602' b'12.746992' b'1189.835739'
b'230' b'5858283.000000' b'1224.894978' b'13.342532' b'1238.237662'
b'240' b'5858283.000000' b'1272.359560' b'13.927129' b'1286.286842'
b'250' b'5858283.000000' b'1319.958337' b'14.584203' b'1334.542694'
b'260' b'5858283.000000' b'1367.375310' b'15.154413' b'1382.529879'
b'270' b'5858283.000000' b'1414.860278' b'15.681069' b'1430.541507'
b'280' b'5858283.000000' b'1462.212145' b'16.269817' b'1478.482125'
b'290' b'5858283.000000' b'1509.410072' b'16.832881' b'1526.243119'
b'300' b'5858110.000000' b'1556.754924' b'17.476350' b'1574.231444'
b'310' b'5858110.000000' b'1604.090075' b'18.069324' b'1622.159572'
b'320' b'5858110.000000' b'1651.153446' b'18.695040' b'1669.848680'
b'330' b'5855661.000000' b'1698.598503' b'19.290365' b'1717.889067'
b'340' b'5855661.000000' b'1745.653737' b'19.820706' b'1765.474645'
b'350' b'5855661.000000' b'1792.602052' b'20.373025' b'1812.975282'
b'360' b'5855661.000000' b'1839.879979' b'20.895317' b'1860.775506'
b'370' b'5855661.000000' b'1887.245993' b'21.416045' b'1908.662252'
b'380' b'5855661.000000' b'1934.230052' b'21.938350' b'1956.168620'
b'390' b'5855661.000000' b'1981.392924' b'22.558550' b'2003.951699'
b'400' b'5855661.000000' b'2028.532490' b'23.101775' b'2051.634494'
b'410' b'5855661.000000' b'2075.545111' b'23.711058' b'2099.256403'
b'420' b'5855661.000000' b'2122.585216' b'24.288173' b'2146.873630'
b'430' b'5855661.000000' b'2169.725382' b'24.834263' b'2194.559889'
b'440' b'5855661.000000' b'2216.722095' b'25.395912' b'2242.118281'
b'450' b'5855661.000000' b'2263.868919' b'25.948807' b'2289.818002'
b'460' b'5855661.000000' b'2310.967011' b'26.497414' b'2337.464704'
b'470' b'5855661.000000' b'2358.065489' b'27.092301' b'2385.158087'
b'480' b'5855661.000000' b'2405.035318' b'27.670629' b'2432.706248'
b'490' b'5855661.000000' b'2452.074433' b'28.226410' b'2480.301149'
b'500' b'5855661.000000' b'2499.002477' b'28.853722' b'2527.856506'
b'510' b'5855661.000000' b'2546.317161' b'29.483666' b'2575.801140'
b'520' b'5855661.000000' b'2593.352783' b'30.026735' b'2623.379834'
b'530' b'5855661.000000' b'2640.423899' b'30.679603' b'2671.103824'
b'540' b'5855661.000000' b'2687.272171' b'31.196577' b'2718.469071'
b'550' b'5855661.000000' b'2734.177295' b'31.790753' b'2765.968377'
b'560' b'5855661.000000' b'2781.116030' b'32.362941' b'2813.479305'
b'570' b'5855661.000000' b'2827.874868' b'32.959083' b'2860.834289'
b'580' b'5855661.000000' b'2874.867997' b'33.600004' b'2908.468345'
b'590' b'5855661.000000' b'2921.954644' b'34.233328' b'2956.188320'
b'600' b'5855661.000000' b'2968.868131' b'34.883032' b'3003.751515'
b'610' b'5855661.000000' b'3015.806705' b'35.457370' b'3051.264433'
b'620' b'5855661.000000' b'3062.754197' b'36.031466' b'3098.786023'
b'630' b'5855661.000000' b'3109.719076' b'36.593668' b'3146.313121'
b'640' b'5855661.000000' b'3156.839652' b'37.171242' b'3194.011275'
b'650' b'5855661.000000' b'3203.788944' b'37.727872' b'3241.517201'
b'660' b'5855661.000000' b'3250.583171' b'38.270449' b'3288.854010'
b'670' b'5855661.000000' b'3297.563834' b'38.828318' b'3336.392546'
b'680' b'5855661.000000' b'3344.387035' b'39.464032' b'3383.851467'
b'690' b'5855661.000000' b'3391.494481' b'40.080654' b'3431.575537'
b'700' b'5855661.000000' b'3438.443311' b'40.678012' b'3479.121731'
b'710' b'5855661.000000' b'3485.413177' b'41.290470' b'3526.704059'
b'720' b'5855661.000000' b'3532.451200' b'41.914307' b'3574.365921'
b'730' b'5855661.000000' b'3579.471030' b'42.504024' b'3621.975472'
b'740' b'5855626.000000' b'3626.292630' b'43.025317' b'3669.318385'
b'750' b'5855626.000000' b'3673.364917' b'43.624733' b'3716.990092'
b'760' b'5855626.000000' b'3720.334769' b'44.176982' b'3764.512200'
b'770' b'5855626.000000' b'3767.217791' b'44.765702' b'3811.983946'
b'780' b'5855626.000000' b'3814.275150' b'45.300041' b'3859.575646'
b'790' b'5855626.000000' b'3861.438223' b'45.880918' b'3907.319602'
b'800' b'5855626.000000' b'3908.365148' b'46.438697' b'3954.804308'
b'810' b'5855626.000000' b'3955.323481' b'47.074920' b'4002.398868'
b'820' b'5855626.000000' b'4002.245305' b'47.693039' b'4049.938818'
b'830' b'5855626.000000' b'4049.198393' b'48.317024' b'4097.515895'
b'840' b'5855626.000000' b'4096.262538' b'48.860814' b'4145.123834'
b'850' b'5855626.000000' b'4143.447795' b'49.455081' b'4192.903365'
b'860' b'5855626.000000' b'4190.426852' b'50.045735' b'4240.473095'
b'870' b'5855626.000000' b'4237.399481' b'50.600305' b'4288.000295'
b'880' b'5855626.000000' b'4284.227582' b'51.127107' b'4335.355202'
b'890' b'5855626.000000' b'4331.256729' b'51.652049' b'4382.909296'
b'900' b'5855626.000000' b'4378.086832' b'52.184664' b'4430.272018'
b'910' b'5855626.000000' b'4425.180333' b'52.716629' b'4477.897487'
b'920' b'5855626.000000' b'4472.241485' b'53.318337' b'4525.560350'
b'930' b'5855626.000000' b'4519.216783' b'53.941066' b'4573.158382'
b'940' b'5855626.000000' b'4566.087275' b'54.593865' b'4620.681676'
b'950' b'5855626.000000' b'4613.010146' b'55.316837' b'4668.327521'
b'960' b'5855626.000000' b'4659.998627' b'55.872582' b'4715.871750'
b'970' b'5855626.000000' b'4706.811408' b'56.520982' b'4763.332935'
b'980' b'5855626.000000' b'4753.618731' b'57.084612' b'4810.703888'
b'990' b'5855626.000000' b'4800.633196' b'57.692107' b'4858.325854'
b'shortest' b'tour:' b'5855626.000000' b'time' b'4901.328001'
Run: 1
b'0' b'5892419.000000' b'6.925766' b'0.097754' b'7.023520'
b'10' b'5888387.000000' b'72.381037' b'0.717817' b'73.098859'
b'20' b'5886212.000000' b'135.784687' b'1.279771' b'137.064470'
b'30' b'5884393.000000' b'197.273379' b'1.778405' b'199.051800'
b'40' b'5882058.000000' b'256.863349' b'2.388824' b'259.252223'
b'50' b'5879562.000000' b'314.705562' b'3.029593' b'317.735209'
b'60' b'5878120.000000' b'371.344585' b'3.629595' b'374.974236'
b'70' b'5875078.000000' b'426.454083' b'4.188300' b'430.642443'
b'80' b'5872599.000000' b'480.342368' b'4.812721' b'485.155154'
b'90' b'5872599.000000' b'533.364353' b'5.432730' b'538.797151'
b'100' b'5869415.000000' b'585.723296' b'5.956882' b'591.680250'
b'110' b'5869415.000000' b'637.047806' b'6.612011' b'643.659894'
b'120' b'5867068.000000' b'688.048946' b'7.229614' b'695.278641'
b'130' b'5866735.000000' b'738.291032' b'7.773314' b'746.064432'
b'140' b'5866735.000000' b'788.296925' b'8.397979' b'796.694994'
b'150' b'5865603.000000' b'837.775293' b'8.985223' b'846.760611'
b'160' b'5864431.000000' b'886.806784' b'9.659457' b'896.466338'
b'170' b'5863684.000000' b'935.507282' b'10.307714' b'945.815098'
b'180' b'5863684.000000' b'984.059938' b'10.930187' b'994.990228'
b'190' b'5862564.000000' b'1032.156543' b'11.552337' b'1043.708985'
b'200' b'5861541.000000' b'1080.369729' b'12.157088' b'1092.526946'
b'210' b'5860198.000000' b'1128.396462' b'12.841538' b'1141.238134'
b'220' b'5860198.000000' b'1176.200648' b'13.454006' b'1189.654812'
b'230' b'5860198.000000' b'1223.949813' b'14.092624' b'1238.042600'
b'240' b'5860198.000000' b'1271.474615' b'14.634133' b'1286.108916'
b'250' b'5860198.000000' b'1318.961268' b'15.166228' b'1334.127685'
b'260' b'5858972.000000' b'1366.520132' b'15.751498' b'1382.271824'
b'270' b'5858972.000000' b'1413.811229' b'16.297005' b'1430.108432'
b'280' b'5858972.000000' b'1461.216105' b'16.839491' b'1478.055798'
b'290' b'5858972.000000' b'1508.380094' b'17.411996' b'1525.792296'
b'300' b'5858972.000000' b'1555.542792' b'17.940956' b'1573.483959'
b'310' b'5857989.000000' b'1602.731909' b'18.520767' b'1621.252893'
