Run: 0
b'0' b'5892444.000000' b'6.602461' b'0.057013' b'6.659474'
b'10' b'5889277.000000' b'71.898255' b'0.681255' b'72.579530'
b'20' b'5885303.000000' b'135.205174' b'1.299016' b'136.504214'
b'30' b'5885303.000000' b'196.879296' b'1.972839' b'198.852168'
b'40' b'5883868.000000' b'256.768116' b'2.554911' b'259.323066'
b'50' b'5879711.000000' b'314.920332' b'3.231676' b'318.152051'
b'60' b'5879711.000000' b'371.535606' b'3.750608' b'375.286262'
b'70' b'5874114.000000' b'426.842291' b'4.342107' b'431.184450'
b'80' b'5874114.000000' b'480.949475' b'4.902296' b'485.851826'
b'90' b'5872276.000000' b'534.047250' b'5.493329' b'539.540657'
b'100' b'5871548.000000' b'586.244096' b'6.051043' b'592.295224'
b'110' b'5868470.000000' b'637.993873' b'6.681478' b'644.675442'
b'120' b'5868470.000000' b'689.084915' b'7.229141' b'696.314152'
b'130' b'5864383.000000' b'739.535083' b'7.795015' b'747.330198'
b'140' b'5864383.000000' b'789.578929' b'8.378974' b'797.958007'
b'150' b'5864383.000000' b'838.992711' b'8.970848' b'847.963669'
b'160' b'5863108.000000' b'888.014434' b'9.580629' b'897.595181'
b'170' b'5862516.000000' b'937.058521' b'10.124795' b'947.183440'
b'180' b'5862516.000000' b'985.697274' b'10.753370' b'996.450774'
b'190' b'5862516.000000' b'1034.169486' b'11.299506' b'1045.469128'
b'200' b'5860195.000000' b'1082.089338' b'11.914051' b'1094.003531'
b'210' b'5859609.000000' b'1130.333283' b'12.491335' b'1142.824767'
b'220' b'5859609.000000' b'1178.081691' b'13.032263' b'1191.114108'
b'230' b'5859436.000000' b'1225.916146' b'13.591216' b'1239.507523'
b'240' b'5859436.000000' b'1273.543101' b'14.164275' b'1287.707537'
b'250' b'5858929.000000' b'1321.042959' b'14.700825' b'1335.743952'
b'260' b'5858361.000000' b'1368.508103' b'15.252909' b'1383.761187'
b'270' b'5858361.000000' b'1415.910772' b'15.798828' b'1431.709784'
b'280' b'5858361.000000' b'1463.313097' b'16.320226' b'1479.633513'
b'290' b'5858361.000000' b'1510.743348' b'16.868088' b'1527.611634'
b'300' b'5858361.000000' b'1558.076809' b'17.469506' b'1575.546535'
b'310' b'5858361.000000' b'1605.293414' b'18.016448' b'1623.310086'
b'320' b'5857558.000000' b'1652.501955' b'18.648685' b'1671.150870'
b'330' b'5857558.000000' b'1699.779035' b'19.268791' b'1719.048066'
b'340' b'5856044.000000' b'1746.882434' b'19.807224' b'1766.689908'
b'350' b'5856044.000000' b'1794.063855' b'20.410217' b'1814.474330'
b'360' b'5856044.000000' b'1841.153700' b'21.021878' b'1862.175842'
b'370' b'5856044.000000' b'1888.186855' b'21.573857' b'1909.760985'
b'380' b'5856044.000000' b'1935.184766' b'22.239378' b'1957.424426'
b'390' b'5856044.000000' b'1982.134103' b'22.775340' b'2004.909749'
b'400' b'5856044.000000' b'2029.179776' b'23.320632' b'2052.500719'
b'410' b'5856044.000000' b'2076.203413' b'23.877761' b'2100.081491'
b'420' b'5856044.000000' b'2123.355568' b'24.428141' b'2147.784032'
b'430' b'5856044.000000' b'2170.341060' b'24.975692' b'2195.317081'
b'440' b'5855107.000000' b'2217.364595' b'25.522900' b'2242.887833'
b'450' b'5855107.000000' b'2264.257744' b'26.070768' b'2290.328871'
b'460' b'5855107.000000' b'2311.232131' b'26.711579' b'2337.944074'
b'470' b'5855107.000000' b'2358.351342' b'27.371357' b'2385.723069'
