Run: 0
b'0' b'5893713.000000' b'11.427725' b'0.057557' b'11.485282'
b'10' b'5890676.000000' b'163.550282' b'0.627627' b'164.177915'
b'20' b'5886913.000000' b'327.386052' b'1.146600' b'328.532698'
b'30' b'5884360.000000' b'491.499335' b'1.696457' b'493.195843'
b'40' b'5883446.000000' b'659.614437' b'2.282404' b'661.896912'
b'50' b'5880313.000000' b'829.210567' b'2.779355' b'831.990013'
b'60' b'5878701.000000' b'998.491816' b'3.331602' b'1001.823513'
b'70' b'5875598.000000' b'1167.477257' b'3.881787' b'1171.359142'
b'80' b'5874284.000000' b'1336.986173' b'4.528296' b'1341.514573'
b'90' b'5871683.000000' b'1505.478844' b'5.232360' b'1510.711313'
b'100' b'5868936.000000' b'1677.207268' b'5.745443' b'1682.952827'
b'110' b'5868936.000000' b'1849.235108' b'6.252646' b'1855.487887'
b'120' b'5868936.000000' b'2021.974077' b'6.788935' b'2028.763152'
b'130' b'5867249.000000' b'2194.129905' b'7.298287' b'2201.428336'
b'140' b'5865460.000000' b'2364.550791' b'7.928280' b'2372.479222'
b'150' b'5864368.000000' b'2536.408546' b'8.445438' b'2544.854141'
b'160' b'5864368.000000' b'2708.530095' b'8.993991' b'2717.524253'
b'170' b'5863359.000000' b'2880.658048' b'9.516891' b'2890.175115'
b'180' b'5862012.000000' b'3054.532404' b'10.037672' b'3064.570258'
b'190' b'5861319.000000' b'3226.923424' b'10.597538' b'3237.521153'
b'200' b'5861319.000000' b'3404.848771' b'11.160511' b'3416.009479'
b'210' b'5861319.000000' b'3579.880023' b'11.678422' b'3591.558643'
b'220' b'5860022.000000' b'3756.339905' b'12.223023' b'3768.563149'
b'230' b'5860022.000000' b'3928.271023' b'12.754533' b'3941.025799'
b'240' b'5860022.000000' b'4104.315357' b'13.305687' b'4117.621294'
b'250' b'5860022.000000' b'4280.413709' b'13.817215' b'4294.231179'
b'260' b'5860022.000000' b'4457.903223' b'14.354087' b'4472.257572'
b'270' b'5858232.000000' b'4633.093171' b'14.910926' b'4648.004366'
b'280' b'5858232.000000' b'4810.923406' b'15.406518' b'4826.330197'
b'290' b'5858232.000000' b'4989.862425' b'15.945909' b'5005.808615'
b'300' b'5858232.000000' b'5165.486844' b'16.434932' b'5181.922062'
b'310' b'5858232.000000' b'5342.887554' b'16.945898' b'5359.833744'
b'320' b'5856247.000000' b'5521.103517' b'17.455902' b'5538.559720'
