Run: 0
b'0' b'5894507.000000' b'11.981543' b'0.061248' b'12.042792'
b'10' b'5890498.000000' b'162.001521' b'0.733147' b'162.734679'
b'20' b'5887451.000000' b'324.829654' b'1.354419' b'326.184090'
b'30' b'5886006.000000' b'491.083772' b'1.968479' b'493.052276'
b'40' b'5883070.000000' b'658.624794' b'2.586895' b'661.211717'
b'50' b'5880567.000000' b'825.812645' b'3.214157' b'829.026836'
b'60' b'5878222.000000' b'991.715126' b'3.811464' b'995.526633'
b'70' b'5877069.000000' b'1158.831853' b'4.448414' b'1163.280317'
b'80' b'5872567.000000' b'1326.016684' b'5.124817' b'1331.141557'
b'90' b'5872567.000000' b'1493.649467' b'5.799563' b'1499.449092'
b'100' b'5871621.000000' b'1663.500577' b'6.462517' b'1669.963167'
b'110' b'5869563.000000' b'1833.508749' b'7.143930' b'1840.652758'
b'120' b'5867997.000000' b'2003.774913' b'7.836062' b'2011.611061'
b'130' b'5866214.000000' b'2173.404964' b'8.522028' b'2181.927084'
b'140' b'5864893.000000' b'2342.980036' b'9.214797' b'2352.194933'
b'150' b'5864893.000000' b'2511.480515' b'9.936172' b'2521.416792'
b'160' b'5862996.000000' b'2683.348288' b'10.593323' b'2693.941727'
b'170' b'5862996.000000' b'2858.008918' b'11.261049' b'2869.270090'
b'180' b'5862996.000000' b'3029.714110' b'11.952144' b'3041.666385'
b'190' b'5862996.000000' b'3202.954188' b'12.628888' b'3215.583231'
b'200' b'5861546.000000' b'3375.323370' b'13.297766' b'3388.621317'
b'210' b'5861215.000000' b'3549.029962' b'14.000208' b'3563.030368'
b'220' b'5859087.000000' b'3724.161649' b'14.714207' b'3738.876062'
b'230' b'5859087.000000' b'3896.145220' b'15.387681' b'3911.533116'
b'240' b'5859087.000000' b'4070.704829' b'16.132923' b'4086.837971'
b'250' b'5859087.000000' b'4244.979803' b'16.838076' b'4261.818107'
b'260' b'5859087.000000' b'4419.405124' b'17.516706' b'4436.922067'
b'270' b'5858771.000000' b'4593.916067' b'18.217296' b'4612.133607'
b'280' b'5858771.000000' b'4771.437090' b'18.983263' b'4790.420604'
b'290' b'5858661.000000' b'4948.806648' b'19.707678' b'4968.514587'
b'300' b'5858308.000000' b'5126.308213' b'20.434059' b'5146.742540'
b'310' b'5858096.000000' b'5305.918674' b'21.153175' b'5327.072126'
b'320' b'5857533.000000' b'5481.083328' b'21.915776' b'5502.999416'
b'330' b'5857533.000000' b'5662.432415' b'22.635414' b'5685.068164'
b'340' b'5857533.000000' b'5842.107323' b'23.351063' b'5865.458725'
b'350' b'5857533.000000' b'6022.367593' b'24.081305' b'6046.449244'
