Run: 0
b'0' b'6701373.000000' b'9.406599' b'0.149803' b'9.556404'
b'10' b'6698279.000000' b'102.979626' b'1.121545' b'104.101181'
b'20' b'6696065.000000' b'193.394070' b'1.783165' b'195.177253'
b'30' b'6693680.000000' b'280.467518' b'2.427964' b'282.895505'
b'40' b'6689288.000000' b'365.208463' b'3.011414' b'368.219922'
b'50' b'6689198.000000' b'447.558851' b'3.712088' b'451.270991'
b'60' b'6687154.000000' b'527.722094' b'4.564558' b'532.286707'
b'70' b'6683177.000000' b'606.237915' b'5.283012' b'611.520990'
b'80' b'6683177.000000' b'682.780080' b'5.960167' b'688.740315'
b'90' b'6678768.000000' b'757.996249' b'6.769666' b'764.765990'
b'100' b'6677372.000000' b'831.987537' b'7.557926' b'839.545544'
b'110' b'6674571.000000' b'904.685435' b'8.132172' b'912.817703'
b'120' b'6673910.000000' b'976.937596' b'8.855952' b'985.793654'
b'130' b'6670165.000000' b'1048.480396' b'9.555082' b'1058.035588'
b'140' b'6670165.000000' b'1119.233964' b'10.202269' b'1129.436348'
b'150' b'6670165.000000' b'1188.922339' b'11.036292' b'1199.958751'
b'160' b'6670165.000000' b'1258.594070' b'11.798732' b'1270.392926'
b'170' b'6668903.000000' b'1327.840314' b'12.581921' b'1340.422366'
b'180' b'6665527.000000' b'1396.290420' b'13.253228' b'1409.543785'
b'190' b'6665527.000000' b'1464.327239' b'13.948889' b'1478.276272'
b'200' b'6665527.000000' b'1532.265451' b'14.690095' b'1546.955696'
b'210' b'6665527.000000' b'1600.007619' b'15.367670' b'1615.375445'
b'220' b'6665527.000000' b'1667.621532' b'15.990960' b'1683.612658'
b'230' b'6665527.000000' b'1735.359534' b'16.689593' b'1752.049300'
b'240' b'6665527.000000' b'1802.856965' b'17.331091' b'1820.188236'
b'250' b'6662593.000000' b'1870.442346' b'17.966686' b'1888.409219'
b'260' b'6662593.000000' b'1937.777795' b'18.606446' b'1956.384434'
b'270' b'6662593.000000' b'2004.825729' b'19.243927' b'2024.069853'
b'280' b'6662593.000000' b'2071.774531' b'19.856119' b'2091.630868'
b'290' b'6662593.000000' b'2138.918532' b'20.503308' b'2159.422079'
b'300' b'6662593.000000' b'2205.637315' b'21.129339' b'2226.766899'
b'310' b'6662593.000000' b'2272.406498' b'21.759653' b'2294.166402'
