Run: 0
b'0' b'6702956.000000' b'16.062753' b'0.068055' b'16.130808'
b'10' b'6698737.000000' b'245.059245' b'0.679544' b'245.738792'
b'20' b'6696263.000000' b'486.356432' b'1.287720' b'487.644158'
b'30' b'6695705.000000' b'738.195472' b'2.018522' b'740.214005'
b'40' b'6693494.000000' b'991.975249' b'2.853125' b'994.828389'
b'50' b'6687536.000000' b'1244.253888' b'3.568873' b'1247.822784'
b'60' b'6684359.000000' b'1503.748086' b'4.208365' b'1507.956481'
b'70' b'6682294.000000' b'1759.474082' b'4.877446' b'1764.351563'
b'80' b'6681680.000000' b'2013.744413' b'5.653179' b'2019.397631'
b'90' b'6681356.000000' b'2270.639979' b'6.437497' b'2277.077537'
b'100' b'6677095.000000' b'2527.562088' b'7.116084' b'2534.678236'
b'110' b'6675522.000000' b'2784.386025' b'7.730640' b'2792.116733'
b'120' b'6673879.000000' b'3041.499733' b'8.482019' b'3049.981826'
b'130' b'6673480.000000' b'3300.993322' b'9.221573' b'3310.214974'
b'140' b'6672458.000000' b'3560.014139' b'9.881973' b'3569.896198'
b'150' b'6669322.000000' b'3818.349302' b'10.601723' b'3828.951132'
b'160' b'6669322.000000' b'4077.831901' b'11.266753' b'4089.098764'
b'170' b'6669322.000000' b'4338.303777' b'11.908666' b'4350.212561'
b'180' b'6669322.000000' b'4601.528814' b'12.590854' b'4614.119796'
b'190' b'6665867.000000' b'4863.043797' b'13.277955' b'4876.321881'
b'200' b'6665867.000000' b'5125.396760' b'13.933827' b'5139.330719'
b'210' b'6665867.000000' b'5389.954643' b'14.646425' b'5404.601206'
b'220' b'6665867.000000' b'5652.297641' b'15.295826' b'5667.593625'
b'230' b'6665867.000000' b'5916.907004' b'15.937637' b'5932.844803'
b'240' b'6665867.000000' b'6185.798280' b'16.710525' b'6202.508974'
b'250' b'6665240.000000' b'6451.774795' b'17.374747' b'6469.149714'
b'260' b'6664109.000000' b'6719.080808' b'18.057309' b'6737.138294'
b'270' b'6663971.000000' b'6989.854433' b'18.678043' b'7008.532656'
b'280' b'6663971.000000' b'7260.794390' b'19.284286' b'7280.078859'
