Run: 0
b'0' b'6973500.000000' b'13.074891' b'0.082659' b'13.157550'
b'10' b'6968594.000000' b'142.543857' b'1.321157' b'143.865049'
b'20' b'6962958.000000' b'267.593029' b'2.328782' b'269.921860'
b'30' b'6960998.000000' b'387.998043' b'3.361727' b'391.359838'
b'40' b'6959813.000000' b'505.430463' b'4.327256' b'509.757798'
b'50' b'6956622.000000' b'618.693659' b'5.204147' b'623.897899'
b'60' b'6955252.000000' b'729.231051' b'6.275538' b'735.506694'
b'70' b'6949072.000000' b'837.773520' b'7.016710' b'844.790344'
b'80' b'6949072.000000' b'942.851181' b'7.868516' b'950.719828'
b'90' b'6947502.000000' b'1046.354928' b'8.646108' b'1055.001177'
b'100' b'6946950.000000' b'1147.721457' b'9.448370' b'1157.169982'
b'110' b'6945355.000000' b'1247.328230' b'10.285247' b'1257.613658'
b'120' b'6941248.000000' b'1345.673357' b'11.164804' b'1356.838359'
b'130' b'6941248.000000' b'1443.529925' b'12.068627' b'1455.598767'
b'140' b'6941017.000000' b'1540.444846' b'12.916359' b'1553.361432'
b'150' b'6940432.000000' b'1636.379944' b'13.732705' b'1650.112888'
b'160' b'6938934.000000' b'1731.809781' b'14.590821' b'1746.400875'
b'170' b'6935134.000000' b'1827.273829' b'15.467298' b'1842.741410'
b'180' b'6935134.000000' b'1921.444382' b'16.249866' b'1937.694552'
b'190' b'6935134.000000' b'2015.317293' b'17.071261' b'2032.388876'
b'200' b'6935134.000000' b'2108.954717' b'17.939057' b'2126.894106'
b'210' b'6933979.000000' b'2201.969476' b'18.704521' b'2220.674340'
b'220' b'6933979.000000' b'2295.323858' b'19.511914' b'2314.836126'
b'230' b'6933979.000000' b'2388.010121' b'20.440690' b'2408.451181'
b'240' b'6933979.000000' b'2479.520276' b'21.220202' b'2500.740860'
b'250' b'6933979.000000' b'2571.371567' b'21.958616' b'2593.330589'
b'260' b'6933979.000000' b'2663.460264' b'22.653916' b'2686.114588'
b'270' b'6932522.000000' b'2755.488837' b'23.355110' b'2778.844376'
b'280' b'6932522.000000' b'2847.165042' b'24.116307' b'2871.281787'
b'290' b'6932522.000000' b'2938.603413' b'24.878365' b'2963.482220'
b'300' b'6932522.000000' b'3030.604092' b'25.620411' b'3056.224956'
b'310' b'6932522.000000' b'3121.991542' b'26.556078' b'3148.548083'
b'320' b'6932216.000000' b'3213.743758' b'27.417108' b'3241.161347'
b'330' b'6930832.000000' b'3306.067416' b'28.245680' b'3334.313587'
b'340' b'6930832.000000' b'3397.446880' b'29.117826' b'3426.565298'
b'350' b'6930832.000000' b'3489.160000' b'29.889337' b'3519.049942'
b'360' b'6930832.000000' b'3580.428292' b'30.770059' b'3611.198975'
b'370' b'6930832.000000' b'3671.424445' b'31.538502' b'3702.963580'
b'380' b'6930832.000000' b'3762.501099' b'32.267874' b'3794.769608'
b'390' b'6930832.000000' b'3852.893256' b'33.062554' b'3885.956515'
b'400' b'6930832.000000' b'3943.854972' b'33.798440' b'3977.654122'
b'410' b'6930832.000000' b'4035.390613' b'34.500214' b'4069.891543'
b'420' b'6930832.000000' b'4126.723499' b'35.191649' b'4161.915882'
b'430' b'6930832.000000' b'4218.316760' b'35.887052' b'4254.204551'
b'440' b'6930832.000000' b'4309.470636' b'36.621245' b'4346.092629'
b'450' b'6930832.000000' b'4400.614991' b'37.385056' b'4438.000806'
b'460' b'6930832.000000' b'4491.284192' b'38.185271' b'4529.470229'
